=== ITEMS (id | name | current_image) ===
222 | Sweet Corn Soup | NULL
223 | Wonton Soup | NULL
224 | Spring Rolls | NULL
225 | Dragon Chicken | NULL
226 | Garlic Prawns | NULL
227 | Chilli Fish | menu_items/chillyfish.jpg
228 | Orange Juice | NULL
229 | Apple Juice | NULL
230 | Mango Juice | NULL
231 | Pineapple Juice | NULL
232 | Grape Juice | NULL
233 | Pomegranate Juice | NULL
234 | Lime Juice | NULL
235 | Papaya Juice | NULL
236 | Banana Milkshake | NULL
237 | Strawberry Milkshake | NULL
238 | fcxz | NULL
244 | CHICKEN NUGGETS 7PCS | NULL
245 | CHICKEN CHEESE BALL | NULL
246 | CHICKEN POPCORN 12PCS | NULL
247 | CRAB STRIPS 4PCS | NULL
248 | VEG STRIPS | NULL
249 | FISH FINGER | NULL
250 | CHICKEN STRIPS 4PCS | NULL
251 | FRIED MOMOS | NULL
252 | VEG MOMOS | NULL
253 | PANEER MOMOS | NULL
254 | CHICKEN BURGER | NULL
255 | ZINGER BURGER | NULL
256 | VEG BURGER | NULL
257 | JAMBO BURGER | NULL
258 | CHICKEN CLUB SANDWICH | NULL
259 | FAMILY CLUB SANDWICH | NULL
260 | LAYS CHICKEN | NULL
261 | CHICKEN WRAP | NULL
262 | SPECIAL CHICKEN WRAP | NULL
263 | PANEER WRAP | NULL
264 | VEG WRAP | NULL
265 | CHICKEN SHAWARMA ROLL | NULL
266 | CHICKEN RUMALI ROLL | NULL
267 | FULL MEAT ROLL | NULL
268 | SHAWARMA CHEESE ROLL | NULL
269 | SHAWARMA PLATE | NULL
270 | RUMALI PLATE | NULL
271 | FULL MEAT PLATE | NULL
272 | ARABIC SPICY SHAWARMA | NULL
273 | SPL . ARABIC SHAWARMA ROLL | NULL
274 | CHICKEN LOADED FRIES | NULL
275 | TENDER COCONUT | NULL
276 | JACKFRUIT | NULL
277 | BLUE BERRY | NULL
278 | PASSION FRUIT | NULL
279 | KIWI | NULL
280 | FIG AND HONEY | NULL
281 | SITAPHAL | NULL
282 | RED VELVET | NULL
283 | FRUIT OVERLOAD | NULL
284 | HONEYMOON DELIGHT | NULL
285 | PREMIUM DATES | NULL
286 | TENDER COCONUT | NULL
287 | JACK FRUIT | NULL
288 | BLUE BERRY | NULL
289 | PASSION FRUIT | NULL
290 | KIWI | NULL
291 | FIG AND HONEY | NULL
292 | SITAPHAL | NULL
295 | RED VELVET | NULL
296 | FRUIT OVERLOAD | NULL
297 | HONEYMOON DELIGHT | NULL
298 | PREMIUM DATES | NULL
299 | RED VELVET CAKE SHAKE | NULL
300 | VANCHO CAKE SHAKE | NULL
301 | TEA | NULL
302 | COFFEE | NULL
303 | HORLICKS | NULL
304 | BOOST | NULL
305 | Dragon Chicken | NULL
306 | PINK BROWN | NULL
307 | CHOCOLATE CARAMEL | NULL
308 | CHOCOLATE FANTACY | NULL
309 | CHOCO WISH | NULL
310 | HOT CHOCOLATE FUDGE | NULL
311 | BLACK BEAUTY | NULL
312 | PLAY BOY | NULL
313 | VANILA | NULL
314 | STRAWBERRY | NULL
315 | MANGO | NULL
316 | PNEAPPLE | NULL
317 | ORANGE | NULL
318 | CHOCOLATE | NULL
319 | BUTTER SCOTCH | NULL
320 | PISTA | NULL
321 | SPANISH DELIGHT | NULL
322 | KULFI | NULL
323 | BLACK CURRENT | NULL
324 | KESER PISTA | NULL
325 | COFFEE | NULL
326 | WILD ADVENTURE FALOODA | NULL
327 | WILD FRENZY FALOODA | NULL
328 | WILD EXPLOSION FRUIT SALAD | NULL
329 | GREEN APPLE SMOOTHIE | NULL
330 | TENDER COCONUT SMOOTHIE | NULL
331 | GREEN ANGLE JUICE | NULL
332 | SAUDI CHAMPHINE | NULL
333 | SANGARIA MOJITO | NULL
334 | ORANGE MOJITO | NULL
335 | RASBERRY MOJITO | NULL
336 | STRAWBERRY MOJITO | NULL
337 | MINT | NULL
338 | BLUE  CARACAO MOJITO SPL | NULL
339 | BLUE MOKTAIL SPL MOJITO | NULL
340 | GREEN APPLE SPL MOJITO | NULL
341 | KIWI MOJITO SPL | NULL
342 | PASSION FRUIT SPL MOJITO | NULL
343 | WATERMELON MOJITO | NULL
344 | SPYCY COLA MOJITO | NULL
345 | LEMON HONEY ICE TEA MOJITO | NULL
346 | PASSION FRUIT ICE TEA | NULL
347 | PEANUT BUTTER SHAKE | NULL
348 | LOTUS BISCOFF SHAKE | NULL
349 | BLUE LAGOON SHAKE | NULL
350 | DRY FRUIT SHAKE SPL | NULL
351 | RED VELVET SHAKE | NULL
352 | MIX FRUIT SHAKE | NULL
353 | DRY FRUIT SHAKE | NULL
354 | AVACADO SHAKE | NULL
355 | FALOODA | NULL
356 | ROYAL FALOODA | NULL
357 | SHALIMAR | NULL
358 | BAY | NULL
359 | FANCY FALOODA | NULL
360 | VALCANO | NULL
361 | CAKE FUDGE | NULL
362 | ZEBRA | NULL
363 | CAKE N FANTASY | NULL
364 | 20-20 | NULL
365 | MALABAR FALOODA | NULL
366 | TEN FLAVOUR | NULL
367 | SAMATHI | NULL
368 | DRY FRUITS FALOODA | NULL
369 | DRY FRUITS SALAD | NULL
370 | ROYAL KING FALOODA | NULL
371 | TWISTER FALOODA | NULL
372 | PUTTU ICE CREAM | NULL
373 | FRUIT SALAD | NULL
374 | SPECIAL FRUIT SALAD | NULL
375 | MANGO WALTS | NULL
376 | GRAPE | NULL
377 | PAPPAYA | NULL
378 | PINEAPPLE | NULL
379 | MUSAMBI | NULL
380 | ORANGE | NULL
381 | CARROT | NULL
382 | ANAR | NULL
383 | STRAWBERRY | NULL
384 | MANGO | NULL
385 | SHAMAM | NULL
386 | APPLE | NULL
387 | FRESH LIME | NULL
388 | GRAPE | NULL
389 | MUSAMBI | NULL
390 | ORANGE | NULL
391 | CARROT | NULL
392 | PINEAPPLE | NULL
393 | LIME NORMAL | NULL
394 | FRESH LIME | NULL
395 | MINT LIME | NULL
396 | PINEAPPLE LIME | NULL
397 | GRAPE LIME | NULL
398 | GINGER LIME | NULL
399 | SHAMAM | NULL
400 | BADAM | NULL
401 | CASHEW BADAM | NULL
402 | FRESH STRAWBERRY | NULL
403 | COCKTAIL | NULL
404 | APPLE | NULL
405 | ROSE MILK | NULL
406 | DRY FRUIT SHAKE | NULL
407 | PAPPAYA | NULL
408 | CHIKKU | NULL
409 | SHARJAH | NULL
410 | OMAN ( CHERRY) | NULL
411 | SAUDI (DATE) | NULL
412 | AVACADO | NULL
413 | MANGO | NULL
414 | COLD COFFEE | NULL
415 | KIWI | NULL
416 | BLUE MA | NULL
417 | BLUE BERRY | NULL
418 | BLACK BERRY | NULL
419 | AVIL MILK | NULL
420 | VANILA | NULL
421 | STRAWBERRY | NULL
422 | MANGO | NULL
423 | PINEAPPLE | NULL
424 | ORANGE | NULL
425 | CHOCOLATE | NULL
426 | BUTTER SCOTCH | NULL
427 | PISTA | NULL
428 | SPANISH DELIGHT | NULL
429 | KULFI | NULL
430 | BLACK CURRENT | NULL
431 | KESAR PISTA | NULL
432 | COFFEE | NULL
433 | BRAE BULL | NULL
434 | E - MAIL LOVER | NULL
435 | AMERICAN MAGIC | NULL
436 | MECICAN WAVE | NULL
437 | ARABIANS FEW | NULL
438 | POISON BESSERT | NULL
439 | PINE COLA | NULL
440 | PREAT FANTASIA | NULL
441 | GREEN CHANNEL | NULL
442 | AMANDA | NULL
443 | VANDAME CHOICE | NULL
444 | CARIBBEAN SNOWBALL | NULL
445 | GOLDEN DUCK | NULL
446 | SHADOW DANCE | NULL
447 | TEENAGE LOVE | NULL
448 | VELVET CRUNCH | NULL
449 | SNOW PARADISE | NULL
450 | UPPER CRUST | NULL
451 | RANDOM TOWER | NULL
452 | ICE LAND | NULL
453 | LOUSINA GIRL | NULL
454 | GUDBUD | NULL
455 | PAVALOVA | NULL
456 | DILKUSH | NULL
457 | TENDER COCONUT | NULL
458 | BADHAM | NULL
459 | CASHEW | NULL
460 | KITKAT | NULL
461 | OREO | NULL
462 | REDVELVET | NULL
463 | CHICKOO | NULL
464 | BUTTERSCOTCH | NULL
465 | STRAWBERRY | NULL
466 | VANILA | NULL
